SampleID	SRA
HTP_01_03_2021	 SRR14530849
HTP_01_03_2021_INF_unenriched	 SRR14530891
HTP_10_02_2020	 SRR14530820
HTP_10_02_2020_INF_unenriched	 SRR14530772
HTP_10_13_2020	 SRR14530819
HTP_10_13_2020_INF_unenriched	 SRR14530771
HTP_10_20_2020	 SRR14530812
HTP_10_20_2020_INF_unenriched	 SRR14530770
HTP_10_27_2020	 SRR14530801
HTP_10_27_2020_INF_unenriched	 SRR14530769
HTP_11_17_2020_INF_unenriched	 SRR14530890
HTP_11_24_2020	 SRR14530848
HTP_11_24_2020_INF_unenriched	 SRR14530889
HTP_11_3_2020	 SRR14530847
HTP_11_3_2020_INF_unenriched	 SRR14530888
HTP_12_01_2020_INF_unenriched	 SRR14530887
HTP_12_04_2020	 SRR14530846
HTP_12_04_2020_INF_unenriched	 SRR14530886
HTP_12_15_2020_INF_unenriched	 SRR14530885
HTP_12_22_2020	 SRR14530845
HTP_12_22_2020_INF_unenriched	 SRR14530884
HTP_12_29_2020	 SRR14530844
HTP_12_29_2020_INF_unenriched	 SRR14530882
HTP_8_11_2020	 SRR14530790
HTP_8_11_2020_INF_unenriched	 SRR14530767
HTP_8_18_2020	 SRR14530779
HTP_8_18_2020_INF_unenriched	 SRR14530766
HTP_8_25_2020	 SRR14530768
HTP_8_25_2020_INF_unenriched	 SRR14530765
HTP_9_01_2020	 SRR14530757
HTP_9_01_2020_INF_unenriched	 SRR14530764
HTP_9_08_2020	 SRR14530746
HTP_9_08_2020_INF_unenriched	 SRR14530763
HTP_9_15_2020	 SRR14530735
HTP_9_15_2020_INF_unenriched	 SRR14530762
HTP_9_22_2020	 SRR14530843
HTP_9_22_2020_INF_unenriched	 SRR14530881
HTP_9_29_2020	 SRR14530842
HTP_9_29_2020_INF_unenriched	 SRR14530880
PL_01_03_2021	 SRR14530832
PL_01_03_2021_INF_unenriched	 SRR14530865
PL_01_04_2021	 SRR14530831
PL_01_04_2021_INF_unenriched	 SRR14530864
PL_10_22_2020	 SRR14530795
PL_10_22_2020_INF_unenriched	 SRR14530733
PL_11_29_2020	 SRR14530830
PL_11_29_2020_INF_unenriched	 SRR14530863
PL_11_30_2020	 SRR14530829
PL_11_30_2020_INF_unenriched	 SRR14530862
PL_11_5_2020	 SRR14530827
PL_11_5_2020_INF_unenriched	 SRR14530860
PL_12_14_2020	 SRR14530826
PL_12_14_2020_INF_unenriched	 SRR14530859
PL_12_22_2020	 SRR14530825
PL_12_22_2020_INF_unenriched	 SRR14530858
PL_12_28_2020	 SRR14530824
PL_12_28_2020_INF_unenriched	 SRR14530857
PL_8_13_2020	 SRR14530794
PL_8_13_2020_INF_unenriched	 SRR14530732
PL_8_27_2020	 SRR14530793
PL_8_27_2020_INF_unenriched	 SRR14530731
PL_9_10_2020	 SRR14530792
PL_9_10_2020_INF_unenriched	 SRR14530730
PL_9_24_2020	 SRR14530791
PL_9_24_2020_INF_unenriched	 SRR14530729
